gene,type
ENSG00000095261,non-disease
ENSG00000095303,disease
ENSG00000095321,disease
ENSG00000095370,disease
ENSG00000095380,disease
ENSG00000095383,disease
ENSG00000095397,disease
ENSG00000095464,disease
ENSG00000095485,disease
ENSG00000095539,disease
ENSG00000095564,disease
ENSG00000095574,non-disease
ENSG00000095585,disease
ENSG00000095587,disease
ENSG00000095596,disease
ENSG00000095627,disease
ENSG00000095637,disease
ENSG00000095713,disease
ENSG00000095739,disease
ENSG00000095752,disease
ENSG00000095777,disease
ENSG00000095787,non-disease
ENSG00000095794,disease
ENSG00000095906,disease
ENSG00000095951,disease
ENSG00000095970,disease
ENSG00000095981,disease
ENSG00000096006,non-disease
ENSG00000096060,disease
ENSG00000096063,disease
ENSG00000096070,non-disease
ENSG00000096080,disease
ENSG00000096088,disease
ENSG00000096093,disease
ENSG00000096264,disease
ENSG00000096384,disease
ENSG00000096395,disease
ENSG00000096401,disease
ENSG00000096433,disease
ENSG00000096654,disease
ENSG00000096696,disease
ENSG00000096717,disease
ENSG00000096872,disease
ENSG00000096968,disease
ENSG00000096996,disease
ENSG00000097007,disease
ENSG00000097021,disease
ENSG00000097033,disease
ENSG00000097046,disease
ENSG00000097096,non-disease
ENSG00000099194,disease
ENSG00000099203,non-disease
ENSG00000099204,disease
ENSG00000099219,disease
ENSG00000099250,disease
ENSG00000099256,non-disease
ENSG00000099260,disease
ENSG00000099282,disease
ENSG00000099284,disease
ENSG00000099308,non-disease
ENSG00000099326,non-disease
ENSG00000099330,non-disease
ENSG00000099331,disease
ENSG00000099337,disease
ENSG00000099338,non-disease
ENSG00000099341,non-disease
ENSG00000099364,disease
ENSG00000099377,disease
ENSG00000099381,disease
ENSG00000099385,disease
ENSG00000099399,non-disease
ENSG00000099617,non-disease
ENSG00000099622,non-disease
ENSG00000099624,non-disease
ENSG00000099625,non-disease
ENSG00000099769,disease
ENSG00000099783,non-disease
ENSG00000099795,disease
ENSG00000099800,non-disease
ENSG00000099804,disease
ENSG00000099810,disease
ENSG00000099812,non-disease
ENSG00000099814,non-disease
ENSG00000099817,disease
ENSG00000099821,disease
ENSG00000099834,disease
ENSG00000099840,non-disease
ENSG00000099849,disease
ENSG00000099860,disease
ENSG00000099864,non-disease
ENSG00000099875,disease
ENSG00000099889,disease
ENSG00000099899,non-disease
ENSG00000099901,disease
ENSG00000099904,disease
ENSG00000099910,disease
ENSG00000099917,disease
ENSG00000099937,disease
ENSG00000099940,disease
ENSG00000099942,disease
ENSG00000099949,disease
ENSG00000099953,disease
ENSG00000099954,disease
ENSG00000099956,disease
ENSG00000099957,disease
ENSG00000099958,disease
ENSG00000099960,non-disease
ENSG00000099968,disease
ENSG00000099977,disease
ENSG00000099985,disease
ENSG00000099991,disease
ENSG00000099994,non-disease
ENSG00000099995,disease
ENSG00000099998,non-disease
ENSG00000099999,disease
ENSG00000100003,disease
ENSG00000100012,disease
ENSG00000100014,disease
ENSG00000100023,disease
ENSG00000100024,disease
ENSG00000100029,non-disease
ENSG00000100030,disease
ENSG00000100034,disease
ENSG00000100036,non-disease
ENSG00000100038,disease
ENSG00000100053,disease
ENSG00000100055,disease
ENSG00000100056,disease
ENSG00000100060,disease
ENSG00000100065,disease
ENSG00000100075,disease
ENSG00000100077,disease
ENSG00000100078,disease
ENSG00000100079,disease
ENSG00000100083,non-disease
ENSG00000100084,disease
ENSG00000100092,non-disease
ENSG00000100095,disease
ENSG00000100097,disease
ENSG00000100099,disease
ENSG00000100100,non-disease
ENSG00000100104,non-disease
ENSG00000100105,disease
ENSG00000100106,disease
ENSG00000100109,disease
ENSG00000100116,disease
ENSG00000100122,disease
ENSG00000100124,disease
ENSG00000100146,disease
ENSG00000100147,disease
ENSG00000100150,disease
ENSG00000100151,disease
ENSG00000100154,disease
ENSG00000100156,disease
ENSG00000100162,disease
ENSG00000100167,non-disease
ENSG00000100170,disease
ENSG00000100191,disease
ENSG00000100196,non-disease
ENSG00000100201,non-disease
ENSG00000100206,disease
ENSG00000100207,disease
ENSG00000100209,disease
ENSG00000100211,disease
ENSG00000100216,disease
ENSG00000100218,disease
ENSG00000100219,disease
ENSG00000100220,non-disease
ENSG00000100221,non-disease
ENSG00000100225,disease
ENSG00000100226,non-disease
ENSG00000100227,non-disease
ENSG00000100228,disease
ENSG00000100234,disease
ENSG00000100239,non-disease
ENSG00000100241,disease
ENSG00000100242,non-disease
ENSG00000100243,disease
ENSG00000100249,disease
ENSG00000100253,disease
ENSG00000100258,non-disease
ENSG00000100263,non-disease
ENSG00000100266,disease
ENSG00000100271,disease
ENSG00000100276,non-disease
ENSG00000100280,disease
ENSG00000100281,non-disease
ENSG00000100284,disease
ENSG00000100285,disease
ENSG00000100290,disease
ENSG00000100292,disease
ENSG00000100294,disease
ENSG00000100296,disease
ENSG00000100297,disease
ENSG00000100298,non-disease
ENSG00000100299,disease
ENSG00000100300,disease
ENSG00000100302,disease
ENSG00000100304,disease
ENSG00000100307,non-disease
ENSG00000100311,disease
ENSG00000100312,non-disease
ENSG00000100319,non-disease
ENSG00000100320,disease
ENSG00000100321,disease
ENSG00000100324,non-disease
ENSG00000100325,non-disease
ENSG00000100330,disease
ENSG00000100335,disease
ENSG00000100341,disease
ENSG00000100344,disease
ENSG00000100345,disease
ENSG00000100346,disease
ENSG00000100347,disease
ENSG00000100348,disease
ENSG00000100350,non-disease
ENSG00000100351,disease
ENSG00000100353,disease
ENSG00000100354,disease
ENSG00000100359,disease
ENSG00000100360,non-disease
ENSG00000100362,disease
ENSG00000100364,non-disease
ENSG00000100368,disease
ENSG00000100372,non-disease
ENSG00000100373,disease
ENSG00000100376,disease
ENSG00000100379,disease
ENSG00000100380,non-disease
ENSG00000100385,disease
ENSG00000100387,non-disease
ENSG00000100393,disease
ENSG00000100395,disease
ENSG00000100399,disease
ENSG00000100401,non-disease
ENSG00000100403,disease
ENSG00000100412,disease
ENSG00000100413,non-disease
ENSG00000100416,disease
ENSG00000100417,non-disease
ENSG00000100422,disease
ENSG00000100425,disease
ENSG00000100426,disease
ENSG00000100427,disease
ENSG00000100429,disease
ENSG00000100433,disease
ENSG00000100439,non-disease
ENSG00000100441,disease
ENSG00000100442,disease
ENSG00000100445,non-disease
ENSG00000100448,disease
ENSG00000100450,disease
ENSG00000100453,disease
ENSG00000100461,non-disease
ENSG00000100462,non-disease
ENSG00000100473,disease
ENSG00000100479,disease
ENSG00000100483,non-disease
ENSG00000100485,disease
ENSG00000100490,disease
ENSG00000100503,disease
ENSG00000100504,disease
ENSG00000100505,disease
ENSG00000100523,disease
ENSG00000100532,disease
ENSG00000100557,non-disease
ENSG00000100558,disease
ENSG00000100564,disease
ENSG00000100565,non-disease
ENSG00000100568,disease
ENSG00000100577,disease
ENSG00000100578,disease
ENSG00000100580,non-disease
ENSG00000100583,non-disease
ENSG00000100591,non-disease
ENSG00000100592,disease
ENSG00000100593,non-disease
ENSG00000100596,disease
ENSG00000100599,disease
ENSG00000100600,non-disease
ENSG00000100601,non-disease
ENSG00000100604,disease
ENSG00000100605,disease
ENSG00000100612,non-disease
ENSG00000100614,disease
ENSG00000100625,non-disease
ENSG00000100626,non-disease
ENSG00000100628,disease
ENSG00000100629,non-disease
ENSG00000100647,non-disease
ENSG00000100652,disease
ENSG00000100664,non-disease
ENSG00000100665,disease
ENSG00000100678,disease
ENSG00000100697,disease
ENSG00000100711,disease
ENSG00000100721,disease
ENSG00000100722,non-disease
ENSG00000100726,non-disease
ENSG00000100731,disease
ENSG00000100739,disease
ENSG00000100749,disease
ENSG00000100767,disease
ENSG00000100784,disease
ENSG00000100796,disease
ENSG00000100802,non-disease
ENSG00000100804,non-disease
ENSG00000100811,disease
ENSG00000100813,disease
ENSG00000100814,disease
ENSG00000100815,disease
ENSG00000100823,disease
ENSG00000100836,disease
ENSG00000100842,non-disease
ENSG00000100867,disease
ENSG00000100883,disease
ENSG00000100888,disease
ENSG00000100889,disease
ENSG00000100897,non-disease
ENSG00000100902,disease
ENSG00000100906,disease
ENSG00000100908,non-disease
ENSG00000100911,disease
ENSG00000100918,disease
ENSG00000100934,disease
ENSG00000100938,non-disease
ENSG00000100941,disease
ENSG00000100949,disease
ENSG00000100968,disease
ENSG00000100982,disease
ENSG00000100983,disease
ENSG00000100985,disease
ENSG00000100987,disease
ENSG00000100991,disease
ENSG00000100994,disease
ENSG00000100997,disease
ENSG00000101000,disease
ENSG00000101003,non-disease
ENSG00000101004,disease
ENSG00000101017,disease
ENSG00000101019,disease
ENSG00000101049,non-disease
ENSG00000101052,non-disease
ENSG00000101057,disease
ENSG00000101074,non-disease
ENSG00000101076,disease
ENSG00000101079,non-disease
ENSG00000101082,non-disease
ENSG00000101096,disease
ENSG00000101104,non-disease
ENSG00000101109,disease
ENSG00000101115,disease
ENSG00000101126,disease
ENSG00000101132,disease
ENSG00000101134,disease
ENSG00000101144,disease
ENSG00000101146,non-disease
ENSG00000101150,non-disease
ENSG00000101160,disease
ENSG00000101161,disease
ENSG00000101162,disease
ENSG00000101166,disease
ENSG00000101180,disease
ENSG00000101181,disease
ENSG00000101182,disease
ENSG00000101187,disease
ENSG00000101188,disease
ENSG00000101189,non-disease
ENSG00000101190,non-disease
ENSG00000101191,disease
ENSG00000101193,non-disease
ENSG00000101194,disease
ENSG00000101197,non-disease
ENSG00000101198,non-disease
ENSG00000101199,non-disease
ENSG00000101200,disease
ENSG00000101203,non-disease
ENSG00000101204,disease
ENSG00000101213,disease
ENSG00000101216,non-disease
ENSG00000101220,non-disease
ENSG00000101222,non-disease
ENSG00000101224,disease
ENSG00000101230,disease
ENSG00000101246,disease
ENSG00000101247,disease
ENSG00000101251,disease
ENSG00000101255,disease
ENSG00000101265,disease
ENSG00000101276,disease
ENSG00000101280,disease
ENSG00000101282,disease
ENSG00000101290,disease
ENSG00000101292,disease
ENSG00000101294,non-disease
ENSG00000101298,disease
ENSG00000101306,disease
ENSG00000101310,disease
ENSG00000101323,disease
ENSG00000101327,disease
ENSG00000101333,disease
ENSG00000101336,disease
ENSG00000101337,non-disease
ENSG00000101342,non-disease
ENSG00000101343,disease
ENSG00000101346,disease
ENSG00000101347,disease
ENSG00000101349,disease
ENSG00000101350,non-disease
ENSG00000101353,non-disease
ENSG00000101361,disease
ENSG00000101363,non-disease
ENSG00000101365,disease
ENSG00000101367,disease
ENSG00000101384,disease
ENSG00000101391,disease
ENSG00000101400,disease
ENSG00000101405,disease
ENSG00000101407,disease
ENSG00000101412,disease
ENSG00000101417,non-disease
ENSG00000101425,disease
ENSG00000101438,disease
ENSG00000101439,disease
ENSG00000101440,disease
ENSG00000101442,disease
ENSG00000101443,disease
ENSG00000101444,disease
ENSG00000101445,disease
ENSG00000101446,disease
ENSG00000101447,non-disease
ENSG00000101452,disease
ENSG00000101457,disease
ENSG00000101460,non-disease
ENSG00000101463,non-disease
ENSG00000101464,disease
ENSG00000101470,disease
ENSG00000101473,non-disease
ENSG00000101474,non-disease
ENSG00000101493,disease
ENSG00000101542,disease
ENSG00000101544,non-disease
ENSG00000101546,non-disease
ENSG00000101557,non-disease
ENSG00000101558,disease
ENSG00000101574,disease
ENSG00000101577,disease
ENSG00000101596,disease
ENSG00000101605,disease
ENSG00000101608,non-disease
ENSG00000101624,non-disease
ENSG00000101639,disease
ENSG00000101654,disease
ENSG00000101665,disease
ENSG00000101670,disease
ENSG00000101680,disease
ENSG00000101695,disease
ENSG00000101745,disease
ENSG00000101746,disease
ENSG00000101751,disease
ENSG00000101752,non-disease
ENSG00000101773,disease
ENSG00000101782,non-disease
ENSG00000101811,non-disease
ENSG00000101825,non-disease
ENSG00000101842,non-disease
ENSG00000101843,non-disease
ENSG00000101844,disease
ENSG00000101846,disease
ENSG00000101849,non-disease
ENSG00000101850,disease
ENSG00000101856,disease
ENSG00000101868,disease
ENSG00000101871,disease
ENSG00000101882,disease
ENSG00000101888,non-disease
ENSG00000101890,disease
ENSG00000101892,disease
ENSG00000101901,disease
ENSG00000101916,disease
ENSG00000101928,disease
ENSG00000101938,disease
ENSG00000101940,disease
ENSG00000101945,non-disease
ENSG00000101951,disease
ENSG00000101955,disease
ENSG00000101958,disease
ENSG00000101972,disease
ENSG00000101974,non-disease
ENSG00000101977,disease
ENSG00000101981,disease
ENSG00000101986,disease
ENSG00000101997,disease
ENSG00000102001,disease
ENSG00000102003,disease
ENSG00000102007,non-disease
ENSG00000102010,disease
ENSG00000102021,disease
ENSG00000102024,disease
ENSG00000102032,disease
ENSG00000102034,non-disease
ENSG00000102038,non-disease
ENSG00000102043,disease
ENSG00000102048,non-disease
ENSG00000102053,non-disease
ENSG00000102054,disease
ENSG00000102057,non-disease
ENSG00000102078,disease
ENSG00000102081,disease
ENSG00000102096,non-disease
ENSG00000102098,non-disease
ENSG00000102100,non-disease
ENSG00000102103,disease
ENSG00000102104,disease
ENSG00000102109,non-disease
ENSG00000102119,disease
ENSG00000102125,disease
ENSG00000102128,disease
ENSG00000102144,disease
ENSG00000102145,disease
ENSG00000102158,disease
ENSG00000102172,disease
ENSG00000102174,disease
ENSG00000102178,non-disease
ENSG00000102189,disease
ENSG00000102195,disease
ENSG00000102218,disease
ENSG00000102221,non-disease
ENSG00000102226,non-disease
ENSG00000102230,disease
ENSG00000102239,disease
ENSG00000102241,disease
ENSG00000102243,non-disease
ENSG00000102245,disease
ENSG00000102265,disease
ENSG00000102271,disease
ENSG00000102287,disease
ENSG00000102302,disease
ENSG00000102312,disease
ENSG00000102313,non-disease
ENSG00000102316,disease
ENSG00000102349,disease
ENSG00000102359,disease
ENSG00000102362,disease
ENSG00000102383,disease
ENSG00000102384,disease
ENSG00000102385,disease
ENSG00000102387,non-disease
ENSG00000102390,non-disease
ENSG00000102393,disease
ENSG00000102401,non-disease
ENSG00000102445,non-disease
ENSG00000102452,disease
ENSG00000102466,disease
ENSG00000102468,disease
ENSG00000102471,disease
ENSG00000102524,disease
ENSG00000102531,disease
ENSG00000102539,disease
ENSG00000102543,disease
ENSG00000102547,disease
ENSG00000102554,disease
ENSG00000102572,disease
ENSG00000102575,disease
ENSG00000102580,disease
ENSG00000102595,non-disease
ENSG00000102606,disease
ENSG00000102699,disease
ENSG00000102710,non-disease
ENSG00000102738,disease
ENSG00000102743,disease
ENSG00000102755,disease
ENSG00000102760,non-disease
ENSG00000102763,non-disease
ENSG00000102780,disease
ENSG00000102781,disease
ENSG00000102786,non-disease
ENSG00000102794,disease
ENSG00000102796,disease
ENSG00000102802,non-disease
ENSG00000102804,disease
ENSG00000102805,disease
ENSG00000102837,disease
ENSG00000102854,disease
ENSG00000102858,disease
ENSG00000102870,non-disease
ENSG00000102871,disease
ENSG00000102878,disease
ENSG00000102879,non-disease
ENSG00000102882,disease
ENSG00000102886,non-disease
ENSG00000102890,disease
ENSG00000102891,disease
ENSG00000102893,disease
ENSG00000102897,disease
ENSG00000102898,disease
ENSG00000102900,disease
ENSG00000102901,non-disease
ENSG00000102904,non-disease
ENSG00000102908,disease
ENSG00000102910,non-disease
ENSG00000102921,disease
ENSG00000102924,disease
ENSG00000102931,non-disease
ENSG00000102934,disease
ENSG00000102935,disease
ENSG00000102962,disease
ENSG00000102967,disease
ENSG00000102970,disease
ENSG00000102974,disease
ENSG00000102977,disease
ENSG00000102978,disease
ENSG00000102981,disease
ENSG00000102984,disease
ENSG00000102996,disease
ENSG00000103005,non-disease
ENSG00000103018,disease
ENSG00000103021,disease
ENSG00000103023,disease
ENSG00000103024,disease
ENSG00000103034,disease
ENSG00000103035,disease
ENSG00000103037,non-disease
ENSG00000103042,disease
ENSG00000103043,disease
ENSG00000103044,disease
ENSG00000103047,non-disease
ENSG00000103051,disease
ENSG00000103056,disease
ENSG00000103061,non-disease
ENSG00000103064,disease
ENSG00000103066,disease
ENSG00000103067,non-disease
ENSG00000103089,disease
ENSG00000103091,disease
ENSG00000103111,disease
ENSG00000103121,non-disease
ENSG00000103126,disease
ENSG00000103145,disease
ENSG00000103148,non-disease
ENSG00000103150,disease
ENSG00000103152,disease
ENSG00000103154,disease
ENSG00000103160,disease
ENSG00000103168,disease
ENSG00000103174,non-disease
ENSG00000103175,disease
ENSG00000103184,non-disease
ENSG00000103187,disease
ENSG00000103194,disease
ENSG00000103196,disease
ENSG00000103197,disease
ENSG00000103199,non-disease
ENSG00000103202,disease
ENSG00000103222,disease
ENSG00000103227,disease
ENSG00000103241,disease
ENSG00000103245,disease
ENSG00000103248,disease
ENSG00000103249,disease
ENSG00000103253,non-disease
ENSG00000103254,non-disease
ENSG00000103257,disease
ENSG00000103260,non-disease
ENSG00000103264,non-disease
ENSG00000103269,disease
ENSG00000103274,disease
ENSG00000103275,disease
ENSG00000103310,disease
ENSG00000103313,disease
ENSG00000103316,disease
ENSG00000103319,disease
ENSG00000103326,non-disease
ENSG00000103335,non-disease
ENSG00000103342,disease
ENSG00000103343,non-disease
ENSG00000103351,non-disease
ENSG00000103353,non-disease
ENSG00000103355,non-disease
ENSG00000103356,disease
ENSG00000103363,non-disease
ENSG00000103365,non-disease
ENSG00000103375,disease
ENSG00000103381,disease
ENSG00000103404,non-disease
ENSG00000103415,disease
ENSG00000103423,disease
ENSG00000103429,disease
ENSG00000103449,disease
ENSG00000103460,disease
ENSG00000103479,disease
ENSG00000103489,disease
ENSG00000103490,disease
ENSG00000103494,disease
ENSG00000103495,disease
ENSG00000103496,disease
ENSG00000103502,disease
ENSG00000103507,disease
ENSG00000103510,non-disease
ENSG00000103522,disease
ENSG00000103528,disease
ENSG00000103534,disease
ENSG00000103540,non-disease
ENSG00000103544,disease
ENSG00000103546,disease
ENSG00000103549,non-disease
ENSG00000103550,non-disease
ENSG00000103591,disease
ENSG00000103599,disease
ENSG00000103642,disease
ENSG00000103653,disease
ENSG00000103657,disease
ENSG00000103671,non-disease
ENSG00000103707,disease
ENSG00000103710,non-disease
ENSG00000103740,disease
ENSG00000103742,non-disease
ENSG00000103811,disease
ENSG00000103852,disease
ENSG00000103855,disease
ENSG00000103876,disease
ENSG00000103888,disease
ENSG00000103932,disease
ENSG00000103942,disease
ENSG00000103966,disease
ENSG00000103978,disease
ENSG00000103994,non-disease
ENSG00000103995,disease
ENSG00000104043,disease
ENSG00000104044,disease
ENSG00000104047,disease
ENSG00000104055,disease
ENSG00000104059,disease
ENSG00000104064,disease
ENSG00000104081,disease
ENSG00000104112,disease
ENSG00000104129,disease
ENSG00000104131,non-disease
ENSG00000104133,disease
ENSG00000104140,non-disease
ENSG00000104142,non-disease
ENSG00000104147,non-disease
ENSG00000104154,disease
ENSG00000104164,non-disease
ENSG00000104177,disease
ENSG00000104213,disease
ENSG00000104218,disease
ENSG00000104219,disease
ENSG00000104221,non-disease
ENSG00000104228,non-disease
ENSG00000104231,non-disease
ENSG00000104237,disease
ENSG00000104267,disease
ENSG00000104290,disease
ENSG00000104299,non-disease
ENSG00000104312,disease
ENSG00000104313,disease
ENSG00000104320,disease
ENSG00000104321,disease
ENSG00000104324,non-disease
ENSG00000104325,disease
ENSG00000104327,disease
ENSG00000104331,disease
ENSG00000104332,disease
ENSG00000104341,disease
ENSG00000104356,disease
ENSG00000104361,non-disease
ENSG00000104365,disease
ENSG00000104368,disease
ENSG00000104369,disease
ENSG00000104371,disease
ENSG00000104375,disease
ENSG00000104381,disease
ENSG00000104388,disease
ENSG00000104408,disease
ENSG00000104412,non-disease
ENSG00000104413,non-disease
ENSG00000104415,disease
ENSG00000104419,disease
ENSG00000104427,non-disease
ENSG00000104432,disease
ENSG00000104435,disease
ENSG00000104442,disease
ENSG00000104447,disease
ENSG00000104450,disease
ENSG00000104472,disease
ENSG00000104497,disease
ENSG00000104499,disease
ENSG00000104517,disease
ENSG00000104518,non-disease
ENSG00000104522,non-disease
ENSG00000104524,non-disease
ENSG00000104529,non-disease
ENSG00000104537,disease
ENSG00000104549,disease
ENSG00000104611,disease
ENSG00000104613,disease
ENSG00000104626,disease
ENSG00000104635,disease
ENSG00000104643,disease
ENSG00000104679,disease
ENSG00000104687,disease
ENSG00000104689,disease
ENSG00000104695,non-disease
ENSG00000104714,disease
ENSG00000104722,disease
ENSG00000104723,disease
ENSG00000104728,disease
ENSG00000104731,disease
ENSG00000104738,disease
ENSG00000104755,non-disease
ENSG00000104760,disease
ENSG00000104763,disease
ENSG00000104765,disease
ENSG00000104774,disease
ENSG00000104783,disease
ENSG00000104804,non-disease
ENSG00000104805,disease
ENSG00000104808,disease
ENSG00000104812,disease
ENSG00000104814,non-disease
ENSG00000104823,disease
ENSG00000104824,non-disease
ENSG00000104833,non-disease
ENSG00000104848,disease
ENSG00000104852,non-disease
ENSG00000104853,disease
ENSG00000104856,disease
ENSG00000104859,non-disease
ENSG00000104866,non-disease
ENSG00000104870,disease
ENSG00000104872,non-disease
ENSG00000104879,disease
ENSG00000104881,disease
ENSG00000104883,non-disease
ENSG00000104884,disease
ENSG00000104885,disease
ENSG00000104886,non-disease
ENSG00000104888,disease
ENSG00000104889,disease
ENSG00000104892,disease
ENSG00000104894,disease
ENSG00000104899,disease
ENSG00000104901,disease
ENSG00000104904,disease
ENSG00000104907,non-disease
ENSG00000104915,non-disease
ENSG00000104918,disease
ENSG00000104921,disease
ENSG00000104936,disease
ENSG00000104938,disease
ENSG00000104941,disease
ENSG00000104946,non-disease
ENSG00000104951,disease
ENSG00000104953,non-disease
ENSG00000104957,non-disease
ENSG00000104960,non-disease
ENSG00000104964,non-disease
ENSG00000104967,disease
ENSG00000104969,disease
ENSG00000104970,non-disease
ENSG00000104973,disease
ENSG00000104976,non-disease
ENSG00000104979,non-disease
ENSG00000104980,disease
ENSG00000104983,disease
ENSG00000104998,disease
ENSG00000105011,disease
ENSG00000105048,disease
ENSG00000105053,disease
ENSG00000105063,disease
ENSG00000105072,non-disease
ENSG00000105088,disease
ENSG00000105122,non-disease
ENSG00000105127,non-disease
ENSG00000105131,disease
ENSG00000105135,non-disease
ENSG00000105136,disease
ENSG00000105137,non-disease
ENSG00000105141,disease
ENSG00000105146,disease
ENSG00000105171,disease
ENSG00000105173,disease
ENSG00000105185,disease
ENSG00000105186,disease
ENSG00000105197,non-disease
ENSG00000105198,disease
ENSG00000105202,disease
ENSG00000105204,non-disease
ENSG00000105219,non-disease
ENSG00000105220,disease
ENSG00000105221,disease
ENSG00000105223,disease
ENSG00000105227,disease
ENSG00000105229,non-disease
ENSG00000105245,disease
ENSG00000105246,non-disease
ENSG00000105248,non-disease
ENSG00000105254,disease
ENSG00000105255,non-disease
ENSG00000105261,non-disease
ENSG00000105270,non-disease
ENSG00000105278,disease
ENSG00000105281,disease
ENSG00000105287,disease
ENSG00000105289,disease
ENSG00000105290,non-disease
ENSG00000105298,non-disease
ENSG00000105321,non-disease
ENSG00000105323,disease
ENSG00000105325,disease
ENSG00000105329,disease
ENSG00000105339,disease
ENSG00000105352,non-disease
ENSG00000105355,disease
ENSG00000105357,disease
ENSG00000105364,disease
ENSG00000105366,disease
ENSG00000105369,disease
ENSG00000105370,disease
ENSG00000105373,non-disease
ENSG00000105374,non-disease
ENSG00000105376,disease
ENSG00000105379,disease
ENSG00000105383,disease
ENSG00000105393,non-disease
ENSG00000105397,disease
ENSG00000105398,disease
ENSG00000105401,non-disease
ENSG00000105404,disease
ENSG00000105409,disease
ENSG00000105419,non-disease
ENSG00000105426,disease
ENSG00000105428,non-disease
ENSG00000105429,disease
ENSG00000105447,non-disease
ENSG00000105467,non-disease
ENSG00000105472,disease
ENSG00000105479,disease
ENSG00000105483,disease
ENSG00000105486,disease
ENSG00000105492,disease
ENSG00000105497,disease
ENSG00000105499,disease
ENSG00000105507,non-disease
ENSG00000105509,disease
ENSG00000105514,disease
ENSG00000105516,disease
ENSG00000105518,non-disease
ENSG00000105519,disease
ENSG00000105520,non-disease
ENSG00000105523,disease
ENSG00000105538,disease
ENSG00000105549,disease
ENSG00000105550,disease
ENSG00000105552,disease
ENSG00000105556,non-disease
ENSG00000105605,non-disease
ENSG00000105607,disease
ENSG00000105609,non-disease
ENSG00000105610,disease
ENSG00000105612,disease
ENSG00000105613,non-disease
ENSG00000105617,non-disease
ENSG00000105619,disease
ENSG00000105639,disease
ENSG00000105641,disease
ENSG00000105643,disease
ENSG00000105649,disease
ENSG00000105655,non-disease
ENSG00000105656,non-disease
ENSG00000105662,disease
ENSG00000105664,disease
ENSG00000105669,non-disease
ENSG00000105671,non-disease
ENSG00000105672,non-disease
ENSG00000105677,non-disease
ENSG00000105679,disease
ENSG00000105695,disease
ENSG00000105696,non-disease
ENSG00000105697,disease
ENSG00000105698,disease
ENSG00000105699,non-disease
ENSG00000105701,disease
ENSG00000105705,disease
ENSG00000105707,disease
ENSG00000105708,non-disease
ENSG00000105711,disease
ENSG00000105717,disease
ENSG00000105722,non-disease
ENSG00000105723,disease
ENSG00000105726,disease
ENSG00000105732,non-disease
ENSG00000105737,disease
ENSG00000105738,disease
ENSG00000105750,non-disease
ENSG00000105755,disease
ENSG00000105767,non-disease
ENSG00000105771,non-disease
ENSG00000105778,disease
ENSG00000105784,disease
ENSG00000105792,disease
ENSG00000105793,non-disease
ENSG00000105810,disease
ENSG00000105819,disease
ENSG00000105821,non-disease
ENSG00000105825,disease
ENSG00000105829,disease
ENSG00000105849,non-disease
ENSG00000105851,disease
ENSG00000105852,disease
ENSG00000105855,disease
ENSG00000105856,non-disease
ENSG00000105865,disease
ENSG00000105866,disease
ENSG00000105875,non-disease
ENSG00000105877,disease
ENSG00000105879,disease
ENSG00000105880,disease
ENSG00000105894,disease
ENSG00000105928,disease
ENSG00000105929,disease
ENSG00000105939,non-disease
ENSG00000105948,disease
ENSG00000105953,disease
ENSG00000105954,disease
ENSG00000105967,disease
ENSG00000105971,disease
ENSG00000105974,disease
ENSG00000105976,disease
ENSG00000105982,non-disease
ENSG00000105983,disease
ENSG00000105989,disease
ENSG00000105991,disease
ENSG00000105997,disease
ENSG00000106003,disease
ENSG00000106004,disease
ENSG00000106006,disease
ENSG00000106009,disease
ENSG00000106012,disease
ENSG00000106013,disease
ENSG00000106018,disease
ENSG00000106025,disease
ENSG00000106028,disease
ENSG00000106031,disease
ENSG00000106034,non-disease
ENSG00000106038,non-disease
ENSG00000106049,disease
ENSG00000106052,disease
ENSG00000106066,disease
ENSG00000106070,disease
ENSG00000106077,disease
ENSG00000106078,disease
ENSG00000106080,disease
ENSG00000106086,disease
ENSG00000106089,disease
ENSG00000106100,disease
ENSG00000106105,disease
ENSG00000106113,disease
ENSG00000106123,non-disease
ENSG00000106125,disease
ENSG00000106128,disease
ENSG00000106144,disease
ENSG00000106153,disease
ENSG00000106178,disease
ENSG00000106211,disease
ENSG00000106236,disease
ENSG00000106244,non-disease
ENSG00000106245,disease
ENSG00000106258,disease
ENSG00000106261,non-disease
ENSG00000106263,non-disease
ENSG00000106266,non-disease
ENSG00000106268,disease
ENSG00000106278,disease
ENSG00000106290,non-disease
ENSG00000106299,disease
ENSG00000106302,disease
ENSG00000106304,disease
ENSG00000106305,non-disease
ENSG00000106327,disease
ENSG00000106328,non-disease
ENSG00000106330,disease
ENSG00000106331,disease
ENSG00000106333,non-disease
ENSG00000106336,non-disease
ENSG00000106341,non-disease
ENSG00000106344,disease
ENSG00000106346,non-disease
ENSG00000106348,disease
ENSG00000106351,non-disease
ENSG00000106366,disease
ENSG00000106384,non-disease
ENSG00000106392,disease
ENSG00000106397,disease
ENSG00000106399,disease
ENSG00000106404,non-disease
ENSG00000106410,disease
ENSG00000106415,disease
ENSG00000106436,disease
ENSG00000106443,non-disease
ENSG00000106460,disease
ENSG00000106462,disease
ENSG00000106477,disease
ENSG00000106479,non-disease
ENSG00000106483,disease
ENSG00000106524,non-disease
ENSG00000106537,non-disease
ENSG00000106538,disease
ENSG00000106541,disease
ENSG00000106546,disease
ENSG00000106554,disease
ENSG00000106560,non-disease
