Gene	Symbol	Uniprot	Gene Name	Pathway	Protein Class	DSI	DPI	# Of Diseases	Gene	Source	Gene	Source	Gene	# Of SNPs	Source	gene	# Of Genes	Source	gene	Source
3164	NR4A1	P22736	nuclear receptor subfamily 4, group A, member 1	Gene Expression; Immune System; Signal Transduction	transcription factor; receptor	0.553881860336225	0.666666666666667	77	3164	ALL	3164	ALL	3164	0	ALL	3164	11661	ALL	3164	ALL
3587	IL10RA	Q13651	interleukin 10 receptor, alpha	null	defense/immunity protein; receptor	0.571833480974517	0.740740740740741	77	3587	ALL	3587	ALL	3587	13	ALL	3587	9065	ALL	3587	ALL
3767	KCNJ11	Q14654	potassium channel, inwardly rectifying subfamily J, member 11	Metabolism; Muscle contraction; Neuronal System; Transmembrane transport of small molecules	null	0.570068630143991	0.666666666666667	77	3767	ALL	3767	ALL	3767	96	ALL	3767	8473	ALL	3767	ALL
3973	LHCGR	P22888	luteinizing hormone/choriogonadotropin receptor	Signal Transduction	extracellular matrix protein; receptor	0.558481405214927	0.444444444444444	77	3973	ALL	3973	ALL	3973	16	ALL	3973	9287	ALL	3973	ALL
339345	NANOS2	P60321	nanos homolog 2 (Drosophila)	null	nucleic acid binding	0.555392766296695	0.814814814814815	77	339345	ALL	339345	ALL	339345	2	ALL	339345	10794	ALL	339345	ALL
5018	OXA1L	Q15070	oxidase (cytochrome c) assembly 1-like	null	transporter	0.552392386389829	0.703703703703704	77	5018	ALL	5018	ALL	5018	11	ALL	5018	11369	ALL	5018	ALL
5244	ABCB4	P21439	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Metabolism; Transmembrane transport of small molecules	transporter	0.558481405214927	0.592592592592593	77	5244	ALL	5244	ALL	5244	18	ALL	5244	9010	ALL	5244	ALL
5563	PRKAA2	P54646	protein kinase, AMP-activated, alpha 2 catalytic subunit	Cellular responses to stress; Gene Expression; Metabolism; Organelle biogenesis and maintenance; Signal Transduction; Vesicle...	transferase; kinase	0.564945362720334	0.703703703703704	77	5563	ALL	5563	ALL	5563	1	ALL	5563	11472	ALL	5563	ALL
5627	PROS1	P07225	protein S (alpha)	Hemostasis; Immune System; Metabolism of proteins	null	0.571833480974517	0.703703703703704	77	5627	ALL	5627	ALL	5627	12	ALL	5627	8994	ALL	5627	ALL
6303	SAT1	P21673	spermidine/spermine N1-acetyltransferase 1	Metabolism	transferase	0.552392386389829	0.740740740740741	77	6303	ALL	6303	ALL	6303	3	ALL	6303	11498	ALL	6303	ALL
6616	SNAP25	P60880	synaptosomal-associated protein, 25kDa	Metabolism; Neuronal System	membrane traffic protein	0.564945362720334	0.703703703703704	77	6616	ALL	6616	ALL	6616	14	ALL	6616	10516	ALL	6616	ALL
6752	SSTR2	P30874	somatostatin receptor 2	Signal Transduction	receptor	0.564945362720334	0.592592592592593	77	6752	ALL	6752	ALL	6752	1	ALL	6752	10212	ALL	6752	ALL
7200	TRH	P20396	thyrotropin-releasing hormone	Signal Transduction	null	0.571833480974517	0.666666666666667	77	7200	ALL	7200	ALL	7200	0	ALL	7200	9871	ALL	7200	ALL
8030	CCDC6	Q16204	coiled-coil domain containing 6	null	null	0.563291688345498	0.703703703703704	77	8030	ALL	8030	ALL	8030	1	ALL	8030	10379	ALL	8030	ALL
9308	CD83	Q01151	CD83 molecule	null	null	0.560060474860095	0.703703703703704	77	9308	ALL	9308	ALL	9308	13	ALL	9308	10810	ALL	9308	ALL
79602	ADIPOR2	Q86V24	adiponectin receptor 2	null	receptor	0.561663653368321	0.666666666666667	77	79602	ALL	79602	ALL	79602	2	ALL	79602	11925	ALL	79602	ALL
83856	FSD1L	Q9BXM9	fibronectin type III and SPRY domain containing 1-like	null	null	0.558481405214927	0.555555555555556	77	83856	ALL	83856	ALL	83856	0	ALL	83856	9931	ALL	83856	ALL
115653	KIR3DL3	P43628;P43631;Q8N743	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	Immune System	defense/immunity protein; signaling molecule; receptor	0.553881860336225	0.814814814814815	77	115653	ALL	115653	ALL	115653	0	ALL	115653	9554	ALL	115653	ALL
55824	PAG1	Q9NWQ8	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	Immune System; Signal Transduction	null	0.560060474860095	0.777777777777778	76	55824	ALL	55824	ALL	55824	1	ALL	55824	11996	ALL	55824	ALL
57026	PDXP	Q96GD0	pyridoxal (pyridoxine, vitamin B6) phosphatase	null	hydrolase; phosphatase	0.560060474860095	0.703703703703704	76	57026	ALL	57026	ALL	57026	0	ALL	57026	8971	ALL	57026	ALL
360	AQP3	Q92482	aquaporin 3 (Gill blood group)	Transmembrane transport of small molecules	transporter	0.561663653368321	0.666666666666667	76	360	ALL	360	ALL	360	0	ALL	360	9771	ALL	360	ALL
445	ASS1	P00966	argininosuccinate synthase 1	Metabolism	ligase	0.564945362720334	0.777777777777778	76	445	ALL	445	ALL	445	26	ALL	445	10251	ALL	445	ALL
1087	CEACAM7	Q14002	carcinoembryonic antigen-related cell adhesion molecule 7	null	null	0.561663653368321	0.555555555555556	76	1087	ALL	1087	ALL	1087	0	ALL	1087	9603	ALL	1087	ALL
2572	GAD2	Q05329	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	Neuronal System	lyase	0.570068630143991	0.703703703703704	76	2572	ALL	2572	ALL	2572	3	ALL	2572	10681	ALL	2572	ALL
2811	GP1BA	P07359	glycoprotein Ib (platelet), alpha polypeptide	Hemostasis	signaling molecule; extracellular matrix protein; receptor	0.570068630143991	0.592592592592593	76	2811	ALL	2811	ALL	2811	6	ALL	2811	7950	ALL	2811	ALL
3291	HSD11B2	P80365	hydroxysteroid (11-beta) dehydrogenase 2	Metabolism	oxidoreductase	0.561663653368321	0.666666666666667	76	3291	ALL	3291	ALL	3291	12	ALL	3291	10365	ALL	3291	ALL
3551	IKBKB	O14920	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	Immune System; Signal Transduction	transferase; kinase	0.563291688345498	0.592592592592593	76	3551	ALL	3551	ALL	3551	8	ALL	3551	11396	ALL	3551	ALL
3661	IRF3	Q14653	interferon regulatory factor 3	Hemostasis; Immune System	transcription factor; nucleic acid binding	0.556925730056341	0.777777777777778	76	3661	ALL	3661	ALL	3661	2	ALL	3661	10769	ALL	3661	ALL
3852	KRT5	P13647	keratin 5, type II	Cell-Cell communication	cytoskeletal protein; structural protein	0.563291688345498	0.555555555555556	76	3852	ALL	3852	ALL	3852	44	ALL	3852	9708	ALL	3852	ALL
4758	NEU1	Q99519	sialidase 1 (lysosomal sialidase)	Metabolism; Metabolism of proteins	hydrolase	0.564945362720334	0.62962962962963	76	4758	ALL	4758	ALL	4758	19	ALL	4758	9862	ALL	4758	ALL
10333	TLR6	Q9Y2C9	toll-like receptor 6	Immune System	extracellular matrix protein; receptor	0.563291688345498	0.777777777777778	76	10333	ALL	10333	ALL	10333	16	ALL	10333	8862	ALL	10333	ALL
5424	POLD1	P28340	polymerase (DNA directed), delta 1, catalytic subunit	Cell Cycle; DNA Repair; DNA Replication; Metabolism	null	0.552392386389829	0.703703703703704	76	5424	ALL	5424	ALL	5424	33	ALL	5424	10853	ALL	5424	ALL
5592	PRKG1	Q13976	protein kinase, cGMP-dependent, type I	Hemostasis; Immune System; Signal Transduction	transferase; kinase	0.566625497005247	0.777777777777778	76	5592	ALL	5592	ALL	5592	9	ALL	5592	10886	ALL	5592	ALL
5764	PTN	P21246	pleiotrophin	null	signaling molecule	0.563291688345498	0.666666666666667	76	5764	ALL	5764	ALL	5764	4	ALL	5764	12284	ALL	5764	ALL
6298	SAI1	null	suppression of anchorage independence 1	null	null	0.563291688345498	0.592592592592593	76	6298	ALL	6298	ALL	6298	0	ALL	6298	10230	ALL	6298	ALL
6948	TCN2	P20062	transcobalamin II	Metabolism	transfer/carrier protein; transporter	0.570068630143991	0.62962962962963	76	6948	ALL	6948	ALL	6948	8	ALL	6948	9295	ALL	6948	ALL
4855	NOTCH4	Q99466	notch 4	Gene Expression; Signal Transduction	defense/immunity protein; signaling molecule; receptor	0.553881860336225	0.666666666666667	75	4855	ALL	4855	ALL	4855	45	ALL	4855	11371	ALL	4855	ALL
4907	NT5E	P21589	5\'-nucleotidase, ecto (CD73)	Metabolism	phosphatase; hydrolase	0.563291688345498	0.703703703703704	75	4907	ALL	4907	ALL	4907	2	ALL	4907	10365	ALL	4907	ALL
5956	OPN1LW	P04000	opsin 1 (cone pigments), long-wave-sensitive	Signal Transduction	receptor	0.564945362720334	0.740740740740741	75	5956	ALL	5956	ALL	5956	3	ALL	5956	10547	ALL	5956	ALL
6392	SDHD	O14521	succinate dehydrogenase complex, subunit D, integral membrane protein	Metabolism	null	0.558481405214927	0.666666666666667	75	6392	ALL	6392	ALL	6392	34	ALL	6392	7882	ALL	6392	ALL
7158	TP53BP1	Q12888	tumor protein p53 binding protein 1	Cell Cycle; DNA Repair; Metabolism of proteins	null	0.563291688345498	0.666666666666667	75	7158	ALL	7158	ALL	7158	3	ALL	7158	11282	ALL	7158	ALL
7189	TRAF6	Q9Y4K3	TNF receptor-associated factor 6, E3 ubiquitin protein ligase	Immune System; Signal Transduction	signaling molecule	0.560060474860095	0.703703703703704	75	7189	ALL	7189	ALL	7189	1	ALL	7189	10583	ALL	7189	ALL
7498	XDH	P47989	xanthine dehydrogenase	Metabolism	oxidoreductase	0.57362850165228	0.703703703703704	75	7498	ALL	7498	ALL	7498	4	ALL	7498	10157	ALL	7498	ALL
7518	XRCC4	Q13426	X-ray repair complementing defective repair in Chinese hamster cells 4	DNA Repair; Metabolism of proteins	null	0.560060474860095	0.777777777777778	75	7518	ALL	7518	ALL	7518	27	ALL	7518	11426	ALL	7518	ALL
8644	AKR1C3	P42330	aldo-keto reductase family 1, member C3	Metabolism; Signal Transduction	oxidoreductase	0.556925730056341	0.518518518518518	75	8644	ALL	8644	ALL	8644	2	ALL	8644	11623	ALL	8644	ALL
9048	ARTN	Q5T4W7	artemin	Developmental Biology	signaling molecule	0.560060474860095	0.851851851851852	75	9048	ALL	9048	ALL	9048	0	ALL	9048	11161	ALL	9048	ALL
2	A2M	P01023	alpha-2-macroglobulin	Extracellular matrix organization; Hemostasis; Metabolism; Signal Transduction	defense/immunity protein; signaling molecule; enzyme modulator	0.564945362720334	0.814814814814815	75	2	ALL	2	ALL	2	1	ALL	2	9438	ALL	2	ALL
150	ADRA2A	P08913	adrenoceptor alpha 2A	Hemostasis; Metabolism; Metabolism of proteins; Signal Transduction	receptor	0.585095099167057	0.666666666666667	75	150	ALL	150	ALL	150	10	ALL	150	9733	ALL	150	ALL
410	ARSA	P15289	arylsulfatase A	Metabolism; Metabolism of proteins	hydrolase	0.560060474860095	0.740740740740741	75	410	ALL	410	ALL	410	115	ALL	410	9563	ALL	410	ALL
831	CAST	P20810	calpastatin	null	enzyme modulator	0.564945362720334	0.740740740740741	75	831	ALL	831	ALL	831	6	ALL	831	11701	ALL	831	ALL
1230	CCR1	P32246	chemokine (C-C motif) receptor 1	Signal Transduction	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.558481405214927	0.814814814814815	75	1230	ALL	1230	ALL	1230	8	ALL	1230	10217	ALL	1230	ALL
2526	FUT4	P22083	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	null	transferase	0.556925730056341	0.518518518518518	75	2526	ALL	2526	ALL	2526	0	ALL	2526	10329	ALL	2526	ALL
2693	GHSR	Q92847	growth hormone secretagogue receptor	Signal Transduction	receptor	0.560060474860095	0.666666666666667	75	2693	ALL	2693	ALL	2693	14	ALL	2693	10347	ALL	2693	ALL
3297	HSF1	Q00613	heat shock transcription factor 1	Cellular responses to stress	null	0.571833480974517	0.703703703703704	75	3297	ALL	3297	ALL	3297	0	ALL	3297	10814	ALL	3297	ALL
4160	MC4R	P32245	melanocortin 4 receptor	Signal Transduction	receptor	0.579205360073215	0.703703703703704	75	4160	ALL	4160	ALL	4160	81	ALL	4160	10076	ALL	4160	ALL
4361	MRE11A	P49959	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	Cell Cycle; Cellular responses to stress; DNA Repair; Immune System	null	0.556925730056341	0.666666666666667	75	4361	ALL	4361	ALL	4361	40	ALL	4361	10622	ALL	4361	ALL
9971	NR1H4	Q96RI1	nuclear receptor subfamily 1, group H, member 4	Gene Expression; Metabolism	transcription factor; receptor; nucleic acid binding	0.568332951741099	0.62962962962963	75	9971	ALL	9971	ALL	9971	1	ALL	9971	10380	ALL	9971	ALL
246100	CTAG1A	P78358	cancer/testis antigen 1A	null	null	0.553881860336225	0.62962962962963	75	246100	ALL	246100	ALL	246100	0	ALL	246100	10397	ALL	246100	ALL
388372	CCL4L1	Q8NHW4;P13236	chemokine (C-C motif) ligand 4-like 1	Signal Transduction	signaling molecule	0.556925730056341	0.888888888888889	74	388372	ALL	388372	ALL	388372	0	ALL	388372	10224	ALL	388372	ALL
407040	MIR34A	null	microRNA 34a	null	null	0.568332951741099	0.62962962962963	74	407040	ALL	407040	ALL	407040	2	ALL	407040	11362	ALL	407040	ALL
4976	OPA1	O60313	optic atrophy 1 (autosomal dominant)	null	cytoskeletal protein; enzyme modulator; hydrolase	0.583094921499403	0.444444444444444	74	4976	ALL	4976	ALL	4976	33	ALL	4976	8874	ALL	4976	ALL
5063	PAK3	O75914	p21 protein (Cdc42/Rac)-activated kinase 3	Developmental Biology; Immune System; Signal Transduction	null	0.555392766296695	0.666666666666667	74	5063	ALL	5063	ALL	5063	11	ALL	5063	10953	ALL	5063	ALL
5973	RENBP	P51606	renin binding protein	null	isomerase	0.560060474860095	0.592592592592593	74	5973	ALL	5973	ALL	5973	1	ALL	5973	9938	ALL	5973	ALL
6584	SLC22A5	O76082	solute carrier family 22 (organic cation/carnitine transporter), member 5	Transmembrane transport of small molecules	transfer/carrier protein; transporter	0.566625497005247	0.777777777777778	74	6584	ALL	6584	ALL	6584	53	ALL	6584	10919	ALL	6584	ALL
6781	STC1	P52823	stanniocalcin 1	null	signaling molecule; transferase	0.570068630143991	0.592592592592593	74	6781	ALL	6781	ALL	6781	2	ALL	6781	10178	ALL	6781	ALL
6908	TBP	P20226	TATA box binding protein	Gene Expression	transcription factor; nucleic acid binding	0.57362850165228	0.666666666666667	74	6908	ALL	6908	ALL	6908	2	ALL	6908	9731	ALL	6908	ALL
7079	TIMP4	Q99727	TIMP metallopeptidase inhibitor 4	null	null	0.5811321325281	0.62962962962963	74	7079	ALL	7079	ALL	7079	3	ALL	7079	10429	ALL	7079	ALL
7184	HSP90B1	P14625	heat shock protein 90kDa beta (Grp94), member 1	Immune System; Metabolism of proteins; Vesicle-mediated transport	chaperone	0.566625497005247	0.666666666666667	74	7184	ALL	7184	ALL	7184	0	ALL	7184	10697	ALL	7184	ALL
7376	NR1H2	P55055	nuclear receptor subfamily 1, group H, member 2	Gene Expression	transcription factor; receptor; nucleic acid binding	0.564945362720334	0.666666666666667	74	7376	ALL	7376	ALL	7376	10	ALL	7376	11011	ALL	7376	ALL
8061	FOSL1	P15407	FOS-like antigen 1	null	transcription factor; nucleic acid binding	0.563291688345498	0.703703703703704	74	8061	ALL	8061	ALL	8061	0	ALL	8061	10400	ALL	8061	ALL
8086	AAAS	Q9NRG9	achalasia, adrenocortical insufficiency, alacrimia	Cell Cycle; Cellular responses to stress; Gene Expression; Immune System; Metabolism; Metabolism of proteins; Transmembrane t...	null	0.570068630143991	0.777777777777778	74	8086	ALL	8086	ALL	8086	8	ALL	8086	9813	ALL	8086	ALL
8202	NCOA3	Q9Y6Q9	nuclear receptor coactivator 3	Developmental Biology; Metabolism; Signal Transduction	transcription factor; transferase	0.558481405214927	0.481481481481481	74	8202	ALL	8202	ALL	8202	3	ALL	8202	10670	ALL	8202	ALL
8841	HDAC3	O15379	histone deacetylase 3	Chromatin organization; Circadian Clock; Developmental Biology; Metabolism; Organelle biogenesis and maintenance; Signal Tran...	oxidoreductase; nucleic acid binding; hydrolase	0.566625497005247	0.592592592592593	74	8841	ALL	8841	ALL	8841	0	ALL	8841	10910	ALL	8841	ALL
9241	NOG	Q13253	noggin	Signal Transduction	signaling molecule; extracellular matrix protein	0.561663653368321	0.703703703703704	74	9241	ALL	9241	ALL	9241	18	ALL	9241	10352	ALL	9241	ALL
9377	COX5A	P20674	cytochrome c oxidase subunit Va	Gene Expression; Metabolism	oxidoreductase	0.57362850165228	0.703703703703704	74	9377	ALL	9377	ALL	9377	4	ALL	9377	11007	ALL	9377	ALL
9560	CCL4L2	Q8NHW4;P13236	chemokine (C-C motif) ligand 4-like 2	Signal Transduction	signaling molecule	0.556925730056341	0.888888888888889	74	9560	ALL	9560	ALL	9560	0	ALL	9560	10224	ALL	9560	ALL
79727	LIN28A	Q9H9Z2	lin-28 homolog A (C. elegans)	Developmental Biology	nucleic acid binding	0.558481405214927	0.592592592592593	74	79727	ALL	79727	ALL	79727	9	ALL	79727	10487	ALL	79727	ALL
120892	LRRK2	Q5S007	leucine-rich repeat kinase 2	null	transferase; kinase	0.583094921499403	0.592592592592593	74	120892	ALL	120892	ALL	120892	27	ALL	120892	9400	ALL	120892	ALL
11168	PSIP1	O75475	PC4 and SFRS1 interacting protein 1	null	transcription factor; signaling molecule	0.561663653368321	0.703703703703704	74	11168	ALL	11168	ALL	11168	0	ALL	11168	10636	ALL	11168	ALL
23586	DDX58	O95786	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	Immune System	null	0.561663653368321	0.851851851851852	74	23586	ALL	23586	ALL	23586	5	ALL	23586	8794	ALL	23586	ALL
25819	CCRN4L	Q9UK39	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	Circadian Clock	nucleic acid binding	0.568332951741099	0.666666666666667	74	25819	ALL	25819	ALL	25819	0	ALL	25819	9666	ALL	25819	ALL
664	BNIP3	Q12983	BCL2/adenovirus E1B 19kDa interacting protein 3	null	null	0.570068630143991	0.555555555555556	74	664	ALL	664	ALL	664	1	ALL	664	10671	ALL	664	ALL
775	CACNA1C	Q13936	calcium channel, voltage-dependent, L type, alpha 1C subunit	Developmental Biology; Metabolism; Muscle contraction	transporter	0.564945362720334	0.62962962962963	74	775	ALL	775	ALL	775	25	ALL	775	8674	ALL	775	ALL
1500	CTNND1	O60716	catenin (cadherin-associated protein), delta 1	Cell-Cell communication; Signal Transduction	cytoskeletal protein	0.563291688345498	0.62962962962963	74	1500	ALL	1500	ALL	1500	0	ALL	1500	10313	ALL	1500	ALL
2042	EPHA3	P29320	EPH receptor A3	Developmental Biology	null	0.564945362720334	0.62962962962963	74	2042	ALL	2042	ALL	2042	8	ALL	2042	10585	ALL	2042	ALL
2046	EPHA8	P29322	EPH receptor A8	Developmental Biology	null	0.561663653368321	0.62962962962963	74	2046	ALL	2046	ALL	2046	2	ALL	2046	11068	ALL	2046	ALL
2074	ERCC6	Q03468	excision repair cross-complementation group 6	DNA Repair; Gene Expression	null	0.560060474860095	0.814814814814815	74	2074	ALL	2074	ALL	2074	36	ALL	2074	11339	ALL	2074	ALL
2187	FANCB	Q8NB91	Fanconi anemia, complementation group B	DNA Repair	null	0.552392386389829	0.518518518518518	74	2187	ALL	2187	ALL	2187	0	ALL	2187	6900	ALL	2187	ALL
2202	EFEMP1	Q12805	EGF containing fibulin-like extracellular matrix protein 1	Extracellular matrix organization	null	0.571833480974517	0.666666666666667	74	2202	ALL	2202	ALL	2202	3	ALL	2202	11562	ALL	2202	ALL
2920	CXCL2	P19875	chemokine (C-X-C motif) ligand 2	Signal Transduction	signaling molecule	0.568332951741099	0.740740740740741	74	2920	ALL	2920	ALL	2920	0	ALL	2920	9703	ALL	2920	ALL
3111	HLA-DOA	P06340	major histocompatibility complex, class II, DO alpha	Immune System	defense/immunity protein	0.550923744930871	0.666666666666667	74	3111	ALL	3111	ALL	3111	3	ALL	3111	9539	ALL	3111	ALL
3483	IGFALS	P35858	insulin-like growth factor binding protein, acid labile subunit	Metabolism of proteins	extracellular matrix protein; receptor	0.57362850165228	0.703703703703704	74	3483	ALL	3483	ALL	3483	5	ALL	3483	8973	ALL	3483	ALL
3488	IGFBP5	P24593	insulin-like growth factor binding protein 5	Metabolism of proteins	null	0.563291688345498	0.555555555555556	74	3488	ALL	3488	ALL	3488	0	ALL	3488	12136	ALL	3488	ALL
3594	IL12RB1	P42701	interleukin 12 receptor, beta 1	null	defense/immunity protein; signaling molecule; receptor	0.561663653368321	0.777777777777778	74	3594	ALL	3594	ALL	3594	5	ALL	3594	8122	ALL	3594	ALL
4057	LTF	P02788	lactotransferrin	Immune System; Metabolism of proteins	transfer/carrier protein; protease; hydrolase	0.57731330613496	0.814814814814815	74	4057	ALL	4057	ALL	4057	5	ALL	4057	11095	ALL	4057	ALL
572	BAD	Q92934	BCL2-associated agonist of cell death	Immune System; Programmed Cell Death; Signal Transduction	null	0.57362850165228	0.62962962962963	73	572	ALL	572	ALL	572	1	ALL	572	11005	ALL	572	ALL
573	BAG1	Q99933	BCL2-associated athanogene	Cellular responses to stress	null	0.560060474860095	0.592592592592593	73	573	ALL	573	ALL	573	0	ALL	573	11050	ALL	573	ALL
728	C5AR1	P21730	complement component 5a receptor 1	Signal Transduction	receptor	0.5811321325281	0.703703703703704	73	728	ALL	728	ALL	728	4	ALL	728	10235	ALL	728	ALL
862	RUNX1T1	Q06455	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	null	transcription factor	0.566625497005247	0.666666666666667	73	862	ALL	862	ALL	862	1	ALL	862	9686	ALL	862	ALL
1395	CRHR2	Q13324	corticotropin releasing hormone receptor 2	Signal Transduction	defense/immunity protein; receptor	0.583094921499403	0.740740740740741	73	1395	ALL	1395	ALL	1395	1	ALL	1395	10436	ALL	1395	ALL
2177	FANCD2	Q9BXW9	Fanconi anemia, complementation group D2	DNA Repair	null	0.566625497005247	0.666666666666667	73	2177	ALL	2177	ALL	2177	2	ALL	2177	11493	ALL	2177	ALL
2729	GCLC	P48506	glutamate-cysteine ligase, catalytic subunit	Metabolism	ligase	0.564945362720334	0.703703703703704	73	2729	ALL	2729	ALL	2729	4	ALL	2729	11391	ALL	2729	ALL
2936	GSR	P00390	glutathione reductase	Cellular responses to stress; Gene Expression; Metabolism	oxidoreductase	0.561663653368321	0.851851851851852	73	2936	ALL	2936	ALL	2936	0	ALL	2936	10822	ALL	2936	ALL
3394	IRF8	Q02556	interferon regulatory factor 8	Immune System	transcription factor; nucleic acid binding	0.560060474860095	0.740740740740741	73	3394	ALL	3394	ALL	3394	16	ALL	3394	10659	ALL	3394	ALL
3397	ID1	P41134	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	Cellular responses to stress	transcription factor	0.561663653368321	0.592592592592593	73	3397	ALL	3397	ALL	3397	0	ALL	3397	10596	ALL	3397	ALL
3678	ITGA5	P08648	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	Developmental Biology; Extracellular matrix organization; Hemostasis	null	0.564945362720334	0.703703703703704	73	3678	ALL	3678	ALL	3678	0	ALL	3678	11769	ALL	3678	ALL
4068	SH2D1A	O60880	SH2 domain containing 1A	Immune System	phosphatase; hydrolase	0.563291688345498	0.740740740740741	73	4068	ALL	4068	ALL	4068	1	ALL	4068	7354	ALL	4068	ALL
4267	CD99	P14209	CD99 molecule	null	cell adhesion molecule	0.560060474860095	0.555555555555556	73	4267	ALL	4267	ALL	4267	0	ALL	4267	9904	ALL	4267	ALL
4502	MT2A	P02795	metallothionein 2A	Immune System; Metabolism	null	0.568332951741099	0.666666666666667	73	4502	ALL	4502	ALL	4502	1	ALL	4502	10742	ALL	4502	ALL
4916	NTRK3	Q16288	neurotrophic tyrosine kinase, receptor, type 3	null	null	0.558481405214927	0.62962962962963	73	4916	ALL	4916	ALL	4916	6	ALL	4916	11611	ALL	4916	ALL
6659	SOX4	Q06945	SRY (sex determining region Y)-box 4	Signal Transduction	transcription factor; nucleic acid binding	0.561663653368321	0.62962962962963	73	6659	ALL	6659	ALL	6659	0	ALL	6659	10438	ALL	6659	ALL
7535	ZAP70	P43403	zeta-chain (TCR) associated protein kinase 70kDa	Immune System	transferase; kinase	0.560060474860095	0.62962962962963	73	7535	ALL	7535	ALL	7535	11	ALL	7535	7805	ALL	7535	ALL
101669765	LINC00914	null	long intergenic non-protein coding RNA 914	null	null	0.571833480974517	0.703703703703704	73	101669765	ALL	101669765	ALL	101669765	7	ALL	101669765	11189	ALL	101669765	ALL
100128998	C20orf181	null	chromosome 20 open reading frame 181	null	null	0.566625497005247	0.555555555555556	73	100128998	ALL	100128998	ALL	100128998	6	ALL	100128998	9994	ALL	100128998	ALL
9927	MFN2	O95140	mitofusin 2	Hemostasis; Mitophagy	phosphatase; hydrolase	0.563291688345498	0.62962962962963	73	9927	ALL	9927	ALL	9927	22	ALL	9927	9126	ALL	9927	ALL
10611	PDLIM5	Q96HC4	PDZ and LIM domain 5	null	transcription factor; cytoskeletal protein	0.563291688345498	0.666666666666667	73	10611	ALL	10611	ALL	10611	9	ALL	10611	11080	ALL	10611	ALL
10859	LILRB1	Q8NHL6	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	Immune System	defense/immunity protein; signaling molecule; receptor	0.558481405214927	0.666666666666667	73	10859	ALL	10859	ALL	10859	0	ALL	10859	11673	ALL	10859	ALL
64221	ROBO3	Q96MS0	roundabout, axon guidance receptor, homolog 3 (Drosophila)	Developmental Biology	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.556925730056341	0.814814814814815	73	64221	ALL	64221	ALL	64221	14	ALL	64221	9477	ALL	64221	ALL
84654	SPZ1	Q9BXG8	spermatogenic leucine zipper 1	null	signaling molecule	0.563291688345498	0.703703703703704	73	84654	ALL	84654	ALL	84654	0	ALL	84654	10640	ALL	84654	ALL
84868	HAVCR2	Q8TDQ0	hepatitis A virus cellular receptor 2	Immune System	cell adhesion molecule; defense/immunity protein; receptor	0.566625497005247	0.666666666666667	73	84868	ALL	84868	ALL	84868	1	ALL	84868	9852	ALL	84868	ALL
94	ACVRL1	P37023	activin A receptor type II-like 1	null	transferase; kinase; receptor	0.575454741641285	0.666666666666667	72	94	ALL	94	ALL	94	17	ALL	94	8979	ALL	94	ALL
214	ALCAM	Q13740	activated leukocyte cell adhesion molecule	Developmental Biology	cell adhesion molecule; receptor	0.564945362720334	0.592592592592593	72	214	ALL	214	ALL	214	0	ALL	214	10276	ALL	214	ALL
325	APCS	P02743	amyloid P component, serum	Metabolism of proteins	defense/immunity protein	0.570068630143991	0.666666666666667	72	325	ALL	325	ALL	325	0	ALL	325	7656	ALL	325	ALL
1233	CCR4	P51679	chemokine (C-C motif) receptor 4	Signal Transduction	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.564945362720334	0.666666666666667	72	1233	ALL	1233	ALL	1233	2	ALL	1233	9322	ALL	1233	ALL
1644	DDC	P20711	dopa decarboxylase (aromatic L-amino acid decarboxylase)	Metabolism	lyase	0.570068630143991	0.666666666666667	72	1644	ALL	1644	ALL	1644	8	ALL	1644	10660	ALL	1644	ALL
2810	SFN	P31947	stratifin	Cell Cycle; Gene Expression; Programmed Cell Death; Signal Transduction; Vesicle-mediated transport	chaperone	0.571833480974517	0.666666666666667	72	2810	ALL	2810	ALL	2810	1	ALL	2810	9812	ALL	2810	ALL
2903	GRIN2A	Q12879	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	Developmental Biology; Immune System; Neuronal System; Signal Transduction	transporter; receptor	0.57362850165228	0.518518518518518	72	2903	ALL	2903	ALL	2903	17	ALL	2903	9781	ALL	2903	ALL
3248	HPGD	P15428	hydroxyprostaglandin dehydrogenase 15-(NAD)	Metabolism	oxidoreductase	0.5811321325281	0.666666666666667	72	3248	ALL	3248	ALL	3248	7	ALL	3248	10166	ALL	3248	ALL
